Firm,TP,FP,FN,Precision,Recall,Exact-Match F1,Jaccard
Adobe,102,3,6,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.918918918918919
Berkshire,302,6,15,0.9805194805194806,0.9526813880126183,0.9664,0.934984520123839
Walmart,38,1,3,0.9743589743589743,0.926829268292683,0.9500000000000001,0.9047619047619048
Combined micro,442,10,24,0.9778761061946902,0.9484978540772532,0.9629629629629629,0.9285714285714286
Macro average,-,-,-,0.9754356754356754,0.9413183669165819,0.9580488262910798,0.9195551146015543
